"First name","Second name","player_id"
"TOMAS","SUCHANEK",272
"TOMAS","VOKOUN",273
"TOMMY","SODERSTROM",274
"TONY","ESPOSITO",275
"TRENT","MINER",276
"TREVOR","KIDD",277
"TRISTAN","JARRY",278
"TRISTAN","LENNOX",279
"TY","CONKLIN",280
"TYLER","BRENNAN",281
"UKKO-PEKKA","LUUKKONER",282
"VADIM","ZHERENKO",283
"VESA","TOSKALA",284
"VICTOR","OSTMAN",285
"VIKTOR","ANDREN",286
"VILLE","HUSSO",287
"VITEK","VANECEK",288
"WALTER","BRODA",289
"WALTTERI","IGNATJEW",290
"WILLIAM","ROUSSEAU",291
"YAROSLAV","ASKAROV",292
"ZAC","BIERK",293
"ZACH","SAWCHENKO",294
