"First name","Second name","ID"
"CHARLIE","SIMMER",372
"CHARLIE","WRIGHT",373
"CHAS","SHARPE",374
"CHASE","BRADLEY",375
"CHASE","STILLMAN",376
"CHASE","WHEATCROFT",377
"CHASE","WOUTERS",378
"CHLOÉ","AURARD",379
"CHRIS","CHELIOS",380
"CHRIS","CLARK",381
"CHRIS","HARPUR",382
"CHRIS","KREIDER",383
"CHRIS","KUNITZ",384
"CHRIS","NILAN",385
"CHRIS","PHILLIPS",386
"CHRIS","PRONGER",387
"CHRIS","TERRY",388
"CHRIS","THORBURN",389
"CHRIS","WAGNER",390
"CHRISTIAN","DJOOS",391
"CHRISTIAN","DVORAK",392
"CHRISTIAN","FOLIN",393
"CHRISTIAN","JAROS",394
"CHRISTIAN","KYROU",395
"CHRISTIAN","WOLANIN",396
"CHRISTOFFER","EHN",397
"CHRISTOFFER","FORSBERG",398
"CHRISTOFFER","JANSSON",399
"CHRISTOFFER","SEDOFF",400
"CHRISTOPH","BRANDNER",401
"CHRISTOPHER","MASTOMAKI",402
"CHRISTOPHER","TANEV",403
"CHUCK","KOBASEW",404
"CHUCK","LEFLEY",405
"CLAIR","DEGEORGE",406
"CLAIRE","BUTORAC",407
"CLAIRE","DALTON",408
"CLAIRE","THOMPSON",409
"CLARK","BISHOP",410
"CLARK","GILLIES",411
"CLAUDE","GIROUX",412
"CLAUDE","LEMIEUX",413
"CLAYTON","KELLER",414
"CLIFF","KOROLL",415
"CODY","CECI",416
"CODY","GLASS",417
"COLBY","SISSONS",418
"COLE","BEAUDOIN",419
"COLE","CAUFIELD",420
"COLE","CLAYTON",421
"COLE","GUTTMAN",422
"COLE","KOEPKE",423
"COLE","MCWARD",424
"COLE","PERFETTI",425
"COLE","REINHARDT",426
"COLE","SCHWINDT",427
"COLE","SILLINGER",428
"COLE","SMITH",429
"COLIN","BLACKWELL",430
"COLIN","FELIX",431
"COLIN","FRASER",432
"COLIN","MILLER",433
"COLIN","PATTERSON",434
"COLIN","UGBEKILE",435
"COLIN","WHITE",436
"COLIN","WILSON",437
"COLLIN","GRAF",438
"COLTON","DACH",439
"COLTON","PARAYKO",440
"COLTON","SISSONS",441
"COLTON","WHITE",442
"CONNOR","BEDARD",443
"CONNOR","BROWN",444
"CONNOR","CLIFTON",445
"CONNOR","DEWAR",446
"CONNOR","MACKEY",447
"CONNOR","MCDAVID",448
"CONNOR","MCMICHAEL",449
"CONNOR","MURPHY",450
"CONNOR","MYLYMOK",451
"CONNOR","PUNNETT",452
"CONNOR","ZARY",453
"CONOR","GARLAND",454
"CONOR","GEEKIE",455
"CONOR","SHEARY",456
"CONOR","TIMMINS",457
"COOPER","MARODY",458
"COOPER","WALKER",459
"COREY","PERRY",460
"COREY","SCHUENEMAN",461
"CORSON","CEULEMANS",462
"CORY","CROSS",463
"CORY","SARICH",464
"COULSON","PITRE",465
"CRAIG","HARTSBURG",466
"CRAIG","LAUGHLIN",467
"CRAIG","LUDWIG",468
"CRAIG","MACTAVISH",469
"CRAIG","SIMPSON",470
"CURTIS","DOUGLAS",471
"CURTIS","GLENCROSS",472
"CURTIS","LAZAR",473
