"First name","Second name","player_id"
"DYLAN","COGHLAN",469
"DYLAN","COZENS",470
"DYLAN","DEMELO",471
"DYLAN","GUENTHER",472
"DYLAN","HOLLOWAY",473
"DYLAN","LARKIN",474
"DYLAN","MCILRATH",475
"DYLAN","ROOBROECK",476
"DYLAN","SAMBERG",477
"DYLAN","STROME",478
"EARL","INGARFIELD SR.",479
"ED","HOSPODAR",480
"ED","WESTFALL",481
"EDDIE","OLCZYK",482
"EDGAR","LAPRADE",483
"EDUARD","SALE",484
"EDUARDS","TRALMAKS",485
"EELI","TOLVANEN",486
"EETU","LIUKAS",487
"EETU","LUOSTARINEN",488
"ELIAS","LINDHOLM",489
"ELIAS","PETTERSSON",490
"ELIZABETH","GIGUÈRE",491
"ELLA","SHELTON",492
"ELLE","HARTJE",493
"ELMER","LACH",494
"ELMER","SÖDERBLOM",495
"EMIL","ANDRAE",496
"EMIL","HEINEMAN",497
"EMIL MARTINSEN","LILLEBERG",498
"EMILY","BROWN",499
"EMILY","CLARK",500
"EMMA","GRECO",501
"EMMA","MALTAIS",502
"EMMA","WOODS",503
"EMMY","FECTEAU",504
"ERIC","BELANGER",505
"ERIC","DAZE",506
"ERIC","LINDROS",507
"ERIC","ROBINSON",508
"ERIK","CERNAK",509
"ERIK","CONDRA",510
"ERIK","GUDBRANSON",511
"ERIK","GUSTAFSSON",512
"ERIK","HAULA",513
"ERIK","KARLSSON",514
"ERIN","AMBROSE",515
"ERROL","THOMPSON",516
"ESA","LINDELL",517
"ESA","TIKKANEN",518
"ETHAN","BEAR",519
"ETHAN","DE JONG",520
"ETHAN","KEPPEN",521
"ETHAN","MOREAU",522
"ETHAN","SAMSON",523
"ETHEN","FRANK",524
"EVAN","BOUCHARD",525
"EVAN","FRIESEN",526
"EVAN","RODRIGUES",527
"EVAN","VIERLING",528
"EVANDER","KANE",529
"EVGENI","MALKIN",530
"EVGENII","DADONOV",531
"FABIAN","LYSELL",532
"FABIAN","ZETTERLUND",533
"FEDOR","SVECHKOV",534
"FEDOR","TYUTIN",535
"FELIX","UNGER SORUM",536
"FILIP","CHYTIL",537
"FILIP","FORSBERG",538
"FILIP","HRONEK",539
"FILIP","KUBA",540
"FILIP","MESAR",541
"FILIP","WESTERLUND",542
"FLORIAN","XHEKAJ",543
"FRANCOIS","BEAUCHEMIN",544
"FRANK","MAHOVLICH",545
"FRANK","NAZAR",546
"FRANK","VATRANO",547
"FRASER","MINTEN",548
"FREDERICK","GAUDREAU",549
"FREDRIK","MODIN",550
"FREDRIK","OLAUSSON",551
"GABBIE","HUGHES",552
"GABBY","ROSENTHAL",553
"GABE","VILARDI",554
"GABRIEL","FONTAINE",555
"GABRIEL","LANDESKOG",556
"GABRIEL","SEGER",557
"GAGE","GONCALVES",558
"GARNET","HATHAWAY",559
"GARNET \""ACE\""","BAILEY",560
"GARRETT","PILON",561
"GARRETT","WILSON",562
"GARRY","HOWATT",563
"GARRY","UNGER",564
"GARRY","VALK",565
"GARTH","BUTCHER",566
"GARY","DORNHOEFER",567
"GARY","ROBERTS",568
"GARY","SUTER",569
"GAVIN","BRINDLEY",570
"GAVIN","HAIN",571
"GEORGE","PARROS",572
"GEORGES","LARAQUE",573
"GERALD","KORAB",574
"GERRY","MEEHAN",575
"GILBERT","DIONNE",576
"GINO","ODJICK",577
"GLEB","TRIKOZOV",578
"GLEN","MURRAY",579
"GLENN","ANDERSON",580
"GORD","MURPHY",581
"GORDIE","HOWE",582
"GORDIE","ROBERTS",583
"GRACE","ZUMWINKLE",584
"GRAEME","CLARKE",585
"GRANT","CRUIKSHANK",586
"GRANT","JENNINGS",587
"GRANT","MARSHALL",588
"GREG","ADAMS",589
"GREG","DE VRIES",590
"GREG","MALONE",591
"GUILLAUME","BRISEBOIS",592
"GUSTAV","FORSLING",593
"GUSTAV","NYQUIST",594
"GUSTAV","OLOFSSON",595
"GUY","CARBONNEAU",596
"GUY","LAPOINTE",597
"HADLEY","HARTMETZ",598
"HAL","GILL",599
"HAMPUS","LINDHOLM",600
"HANNAH","BILKA",601
"HANNAH","BRANDT",602
"HANNAH","MILLER",603
"HAROLD","SNEPSTS",604
"HARRY","HOWELL",605
"HAYDEN","HODGSON",606
"HAYDN","FLEURY",607
"HAYLEY","SCAMURRA",608
"HELGE","GRANS",609
"HENDRIX","LAPIERRE",610
"HENRI","JOKIHARJU",611
"HENRI","RICHARD",612
"HENRIK","SEDIN",613
"HENRIK","ZETTERBERG",614
"HENRY","RYBINSKI",615
"HENRY","THRUN",616
"HILARY","KNIGHT",617
"HOWIE","MORENZ",618
"HUNTER","BRZUSTEWICZ",619
"HUNTER","DREW",620
"HUNTER","HAIGHT",621
"HUNTER","MCDONALD",622
"HUNTER","MCKOWN",623
"IAN","COLE",624
"IAN","MCKINNON",625
"IAN","MITCHELL",626
"IGOR","LARIONOV",627
"ILYA","LYUBUSHKIN",628
"ILYA","MIKHEYEV",629
"ILYA","SOLOVYOV",630
"ISAAK","PHILLIPS",631
"ISAC","LUNDESTROM",632
"ISAIAH","GEORGE",633
"ISRAEL","MIANSCUM",634
"IVAN","BARBASHEV",635
"IVAN","IVAN",636
"IVAN","MIROSHNICHENKO",637
"IVAN","PROVOROV",638
"IZZY","DANIEL",639
"J.J.","MOSER",640
"J.R.","AVON",641
"J.T.","COMPHER",642
"J.T.","MILLER",643
"JAAKKO","LANTTA",644
"JAAKKO","RISSANEN",645
"JACCOB","SLAVIN",646
